seed;llm;template_id;question_id;source_accuracy;page_accuracy;similarity;open_knowledge;;;
1;llama3.2;1;1;1;0.5;0.7981;No;;;
1;llama3.2;1;2;1;0;0.8707;No;;;
1;llama3.2;1;3;0;0;0.7354;No;;;
1;llama3.2;1;4;1;0;0.7374;No;;;
1;llama3.2;1;5;1;0.3333;0.6749;No;;;
1;llama3.2;1;6;1;1;0.0673;No;;;
1;llama3.2;1;7;1;1;0.078;No;;;
1;llama3.2;1;8;1;1;0.0848;No;;;
1;llama3.2;1;9;0.5;0;0.5465;No;;;
1;llama3.2;1;10;0.5;0.2;0.6056;No;;;
1;llama3.2;1;1;1;0.5;0.7777;Yes;;;
1;llama3.2;1;2;1;0;0.8456;Yes;;;
1;llama3.2;1;3;0;0;0.7041;Yes;;;
1;llama3.2;1;4;1;0;0.6529;Yes;;;
1;llama3.2;1;5;1;0.3333;0.6701;Yes;;;
1;llama3.2;1;6;1;1;0.0418;Yes;;;
1;llama3.2;1;7;1;1;0.4518;Yes;;;
1;llama3.2;1;8;1;1;0.0603;Yes;;;
1;llama3.2;1;9;0.5;0;0.5961;Yes;;;
1;llama3.2;1;10;0.5;0.2;0.5415;Yes;;;
1;llama3.2;2;1;1;0.5;0.9263;No;;;
1;llama3.2;2;2;1;0;0.8522;No;;;
1;llama3.2;2;3;0;0;0.5846;No;;;
1;llama3.2;2;4;1;0;0.6796;No;;;
1;llama3.2;2;5;1;0.3333;0.6777;No;;;
1;llama3.2;2;6;1;1;0.0738;No;;;
1;llama3.2;2;7;1;1;0.2217;No;;;
1;llama3.2;2;8;1;1;0.1046;No;;;
1;llama3.2;2;9;0.5;0;0.5918;No;;;
1;llama3.2;2;10;0.5;0.2;0.5609;No;;;
1;llama3.2;2;1;1;0.5;0.8233;Yes;;;
1;llama3.2;2;2;1;0;0.8655;Yes;;;
1;llama3.2;2;3;0;0;0.4908;Yes;;;
1;llama3.2;2;4;1;0;0.7274;Yes;;;
1;llama3.2;2;5;1;0.3333;0.0765;Yes;;;
1;llama3.2;2;6;1;1;0.0016;Yes;;;
1;llama3.2;2;7;1;1;0.1076;Yes;;;
1;llama3.2;2;8;1;1;0.0955;Yes;;;
1;llama3.2;2;9;0.5;0;0.6284;Yes;;;
1;llama3.2;2;10;0.5;0.2;0.5801;Yes;;;
1;llama3.2;3;1;1;0.5;0.6742;No;;;
1;llama3.2;3;2;1;0;0.7158;No;;;
1;llama3.2;3;3;0;0;0.6213;No;;;
1;llama3.2;3;4;1;0;0.5974;No;;;
1;llama3.2;3;5;1;0.3333;0.6241;No;;;
1;llama3.2;3;6;1;1;0.0584;No;;;
1;llama3.2;3;7;1;1;0.0938;No;;;
1;llama3.2;3;8;1;1;0.4066;No;;;
1;llama3.2;3;9;0.5;0;0.5533;No;;;
1;llama3.2;3;10;0.5;0.2;0.5769;No;;;
1;llama3.2;3;1;1;0.5;0.791;Yes;;;
1;llama3.2;3;2;1;0;0.7925;Yes;;;
1;llama3.2;3;3;0;0;0.6869;Yes;;;
1;llama3.2;3;4;1;0;0.521;Yes;;;
1;llama3.2;3;5;1;0.3333;0.6444;Yes;;;
1;llama3.2;3;6;1;1;-0.0069;Yes;;;
1;llama3.2;3;7;1;1;0.0303;Yes;;;
1;llama3.2;3;8;1;1;0.1381;Yes;;;
1;llama3.2;3;9;0.5;0;0.6287;Yes;;;
1;llama3.2;3;10;0.5;0.2;0.5499;Yes;;;
1;llama3.2;4;1;1;0.5;0.8133;No;;;
1;llama3.2;4;2;1;0;0.8405;No;;;
1;llama3.2;4;3;0;0;0.6335;No;;;
1;llama3.2;4;4;1;0;0.6326;No;;;
1;llama3.2;4;5;1;0.3333;0.6885;No;;;
1;llama3.2;4;6;1;1;0.2084;No;;;
1;llama3.2;4;7;1;1;0.2592;No;;;
1;llama3.2;4;8;1;1;0.8843;No;;;
1;llama3.2;4;9;0.5;0;0.6507;No;;;
1;llama3.2;4;10;0.5;0.2;0.585;No;;;
1;llama3.2;4;1;1;0.5;0.7436;Yes;;;
1;llama3.2;4;2;1;0;0.8751;Yes;;;
1;llama3.2;4;3;0;0;0.633;Yes;;;
1;llama3.2;4;4;1;0;0.6257;Yes;;;
1;llama3.2;4;5;1;0.3333;0.6649;Yes;;;
1;llama3.2;4;6;1;1;0.212;Yes;;;
1;llama3.2;4;7;1;1;0.0745;Yes;;;
1;llama3.2;4;8;1;1;0.2846;Yes;;;
1;llama3.2;4;9;0.5;0;0.6461;Yes;;;
1;llama3.2;4;10;0.5;0.2;0.5797;Yes;;;
1;llama3.2;5;1;1;0.5;0.7322;No;;;
1;llama3.2;5;2;1;0;0.8066;No;;;
1;llama3.2;5;3;0;0;0.6455;No;;;
1;llama3.2;5;4;1;0;0.6763;No;;;
1;llama3.2;5;5;1;0.3333;0.7125;No;;;
